District,X,Y
Palghar,-319,109
Thane,-275,58
Mumbai,-328,31
Raigad,-297,-17
Ratnagiri,-296,-129
Sindhudurg,-267,-248
Nandurbar,-215,280
Dhule,-173,225
Nashik,-225,144
Ahemadnagar,-183,60
Jalgaon,-93,210
Pune,-248,-3
Satara,-218,-102
Solapur,-107,-96
Sangli,-177,-160
Kolhapur,-230,-198
Aurangabad,-124,118
Jalna,-47,82
Hingoli,40,89
Parbhani,0,40
Nanded,70,19
Latur,21,-47
Osmanabad,-32,-79
Beed,-57,18
Amravati,85,223
Akola,38,184
Buldhana,-19,170
Washim,60,139
Yavatmal,143,135
Nagpur,231,225
Wardha,187,187
Chandrapur,271,133
Bhandara,293,217
Gondia,330,199
Gadchiroli,329,97
